"Rótulos de Linha","DANFES IRREGULARES","DANFES REGULARIZADAS","","Rótulos de Linha","Soma de VALOR TOTAL","","",""
"2","5","0","","2","3328.86","","",""
"3","2","1","","3","328.47","","",""
"10","2","0","","10","78","","",""
"11","1","1","","11","588.26","","",""
"13","2","4","","13","509.56","","",""
"14","4","0","","14","732.45","","",""
"15","31","0","","15","20242.84","","",""
"17","1","0","","17","536.29","","",""
"21","3","0","","21","1608.48","","",""
"24","4","0","","24","1371.7","","",""
"25","2","2","","25","730","","",""
"26","6","0","","26","2436.6","","",""
"751","1","0","","751","918.23","","",""
"762","3","0","","762","3743.4","","",""
"Total Geral","67","8","","Total Geral","37153.14","","",""
"","","","","","","","",""
"Rótulos de Linha","Soma de QUANTIDADE","","","","","","",""
"ASSINATURA ILEGÍVEL","57","","","","","","",""
"ASSINATURA INCOMPLETA","1","","","","","","",""
"SEM ASSINATURA","9","","","","","","",""
"Total Geral","67","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
